ID;STRUCTURE PORTEUSE;NATURE JURIDIQUE;NOM DU LIEUX;ADRESSE;CODE POSTAL;VILLE;LATITUDE;LONGITUDE;TYPE DE LIEU;ACTIVITES PROPOSEES;HORAIRES;MATERIELS DISPONIBLES;AUTRES LABELS;URL FACEBOOK;URL TWITTER;URL YOUTUBE;PLUS D'INFORMATION;LOGO
42;UFCV;ASSOCIATION;CENTRE SOCIAL L'EPI;25 place de Provence;6470;GUILLAUMES;;;LIEU DE MEDIATION NUMERIQUE;Accompagnement démarches administratives (atelier collectif ou individuel), initiation à l'informatique, dépannage occasionnel, ateliers numériques dans les écoles partenaires. ;Lundi au vendredi 9h-12h30/14h-17h30;Ordinateurs, WIFI gratuit, imprimante, scanner, tablettes tactiles, video projecteur;"Maison de Service Au Public (MSAP); Point relais CAF ";https://www.facebook.com/Lépi-CS-Guillaumes;;;https://epi.ufcv.fr/;https://i.goopics.net/9qEEw.png
43;SOPHIA LOISIR ET VIE;ASSOCIATION;CYBERKIOSC;1 place de l’hotel de ville;6560;VALBONNE SOPHIA ANTIPOLIS;43.64019;7.00767;"FABLAB; LIEU DE MEDIATION NUMERIQUE";Soutien à l'acculturation numériaque des entreprises, activités autour des jeux vidéo, programmation, impression 3D, lieu de makers….;"Lundi,mardi,jeudi 9h-12h/13h30-17h; mercredi 19h-12h30/13h30-17h; vendredi, samedi 9h-12h";Ordinateursfixes et portables, tablettes, pi top ceed, arduino, raspberry Pi 3, imprimante 3D, capteurs météo pour Pi top ceed, kit makey makey;"Maison de Service Au Public (MSAP); Point relais CAF, Point appui Pôle Emploi";https://www.facebook.com/cyberkiosc.valbonne/;;;http://www.slv-valbonne.fr;https://i.goopics.net/dRDYd.png
44;SOPHIA LOISIR ET VIE;ASSOCIATION;LE LAB;carrefour de Garbejaire ;6560;VALBONNE SOPHIA ANTIPOLIS;43.62399;7.04568;"MEDIATHEQUE; FABLAB; LIEU DE MEDIATION NUMERIQUE";Robotique, acculturation numérique, jeux de pistes numérique, création de livre numérique, atelier de jeux vidéo et de retro gaming;"Mardi 14h-17h; mercredi 14h-18h;samedi 14h-17h";Ordinateurs, imprimante, tablettes, robot thymio, makey makey, Pi top ceed;;https://www.facebook.com/association.slv/;;;http://www.slv-valbonne.fr;https://i.goopics.net/eQDJW.png
45;SOPHIA LOISIR ET VIE;ASSOCIATION;MSAP ITINERANTE DU HAUT ET MOYEN PAYS DE LA CASA;- ;6620;LE BAR SUR LOUP;;;LIEU DE MEDIATION NUMERIQUE;E-administration, médiation et acculturation numérique, graphisme, soutien numérique aux entreprises et aux auto-entrepreneurs;"Lundi 9h-12h30; jeudi 13h30-17h00";Ordinateurs, imprimantes, tablette, vidéo-projection;Maison de Service Au Public (MSAP);https://www.facebook.com/MSAPitinerante06/;;https://www.youtube.com/channel/UCF4Yqg0YJt0Vz2ibkJoXbWA;http://www.slv-valbonne.fr;https://i.goopics.net/wyWV3.png
46;SOPHIA LOISIR ET VIE;ASSOCIATION;MSAP ITINERANTE DU HAUT ET MOYEN PAYS DE LA CASA;- ;6620;CIPIERES;;;LIEU DE MEDIATION NUMERIQUE;E-administration, médiation et acculturation numérique, graphisme, soutien numérique aux entreprises et aux auto-entrepreneurs;Vendredi 9h-13h;Ordinateurs, imprimantes, tablette, vidéo-projection;Maison de Service Au Public (MSAP);https://www.facebook.com/MSAPitinerante06/;;https://www.youtube.com/channel/UCF4Yqg0YJt0Vz2ibkJoXbWA;http://www.slv-valbonne.fr;https://i.goopics.net/wyWV3.png
47;SOPHIA LOISIR ET VIE;ASSOCIATION;MSAP ITINERANTE DU HAUT ET MOYEN PAYS DE LA CASA;- ;6650;OPIO;;;LIEU DE MEDIATION NUMERIQUE;E-administration, médiation et acculturation numérique, graphisme, soutien numérique aux entreprises et aux auto-entrepreneurs;Mardi,mercredi 9h-12h30;Ordinateurs, imprimantes, tablette, vidéo-projection;Maison de Service Au Public (MSAP);https://www.facebook.com/MSAPitinerante06/;;https://www.youtube.com/channel/UCF4Yqg0YJt0Vz2ibkJoXbWA;http://www.slv-valbonne.fr;https://i.goopics.net/wyWV3.png
48;COMMUNAUTE D'AGGLOMERATION DU PAYS DE GRASSE;EPCI;ESPACE NUMERIQUE DES MONTS D'AZUR;344 avenue des Hôtels;6850;SAINT-AUBAN;;;LIEU DE MEDIATION NUMERIQUE;Services insertion et formation professionnelle : ainitiation & formation bureautique, GPS, Géocaching;Lundi, mardi, jeudi, vendredi 8h15-18h;Platines serveur clients  légers, rétro projecteur, imprimante/scanner, ordinateurs portables, GPS ;;;;;http://www.paysdegrasse.fr ;https://i.goopics.net/oAqVY.png
49;LA FABULERIE ;ASSOCIATION;LA FABULERIE ;10 boulevard Garibaldi;13001;MARSEILLE;"43.29695359999999
"; 5.380909200000019;"DEMONSTRATEUR NUMERIQUE ; LIEU DE MEDIATION ET DE CREATION NUMERIQUE ; CANTINE ; ESPACE DE COWORKING";Espaces de travail, de conférence, de projection, salles de formation, dispositifs numériques (tables interactives, réalité virtuelle, bornes de jeux numériques, kits d’expositions numériques, matériel de créativité, distributeur d’expériences numériques culturelles);"Lundi au vendredi 9h-18h; soir et week-ends selon programmation";espaces de travail, de conférence;;https://www.facebook.com/Fabulerie/;;https://www.youtube.com/channel/UCZmRbVXNYIQs33_8HhCh2ZQ;http://www.lafabulerie.com;https://i.goopics.net/LQ48L.png
50;CRIJ PROVENCE-ALPES-CÔTE D'AZUR;ASSOCIATION ;CRIJ PROVENCE-ALPES-CÔTE D'AZUR;96 La Canebière;13001;MARSEILLE;;;LIEU DE MEDIATION NUMERIQUE;Accés internet gratuit et en libre accés, ateliers collectifs d’aide à la recherche d’emplois et de stages, ateliers de sensibilisation et d’utilisation des outils de culture numérique , prévention et usages des réseaux sociaux, culture générale sur les technologies de l’information et de la communication, accompagnement aux projets.;"Lundi, mardi et vendredi de 13h à 18h
Mercredi de 10h à 18h
Jeudi de 13h à 21h
Accueil de groupes sur rendez-vous.
";ordinateurs en libre accés accès internet, casques salle de médiation numérique pour des ateliers équipée, imprimante, matériel vidéo empruntable, matériel radio, salle de montage son et vidéo avec ordinateur et logiciel de montage vidéo, salle de coworking, salle de projection, lieu d'exposition;Information Jeunesse, Eurodesk, Education Populaire, Organisme de formation;http://facebook.com/CRIJPACA;http://twitter.com/CRIJPACA;https://www.youtube.com/channel/UC8Uy1200-3_D3gN61XAMDkA/videos;http://www.infojeunesse-paca.fr;https://i.goopics.net/nvJkp.png
51;URBAN PROD;ASSOCIATION;MARS MEDIALAB;18 rue Colbert;13001;MARSEILLE;;;"MEDIALAB; LIEU DE MEDIATION NUMERIQUE";Actions d'insertion des jeunes grâce au outils numérique, accompagnement des entreprises, accompagnemetn à la création numérique;"Lundi, mardi,mercredi,samedi,dimanche 9h-18h; jeudi et vendredi 9h-21h";matériel informatique et audiovisuel;Grande Ecole du Numérique (GEN);https://www.facebook.com/UrbanPr0d/;https://twitter.com/Urban_Prod;;http://www.urbanprod.net;https://i.goopics.net/PDOEQ.png
52;ADPEI;ASSOCIATION;ESPACE NUMERIQUE DE L'ADPEI;18 bd Camille Flammarion;13001;MARSEILLE;;;LIEU DE MEDIATION NUMERIQUE;Ateliers, formations et accès libre accompagné à destination des publics en démarche d’insertion sociale et professionnelle.;"Accès libre et accompagné : lundi, mardi, mercredi et vendredi de 14h à 17h ; Formation à la journée ou demi-journée";ordinateurs en accès libre,  salles de formation,  ordinateurs portables et tablettes;;https://fr-fr.facebook.com/Adpei;;;http://www.adpei.org;https://i.goopics.net/pQqgq.png
53;YES WE CAMP;ASSOCIATION;COCO VELTEN;16 rue Bernard du Bois;13001;MARSEILLE;;;"ESPACE DE COWORKING; LIEU DE MEDIATION NUMERIQUE";Accessibilité au numérique, ateliers partagés, transfert de compétences;"Lundi, mardi 9h-19h : mercredi 9h-23h; jeudi 9h-20h; vendredi 9h-23h; samedi 10h-21h";Ordinateurs, salle d'accueil;;;;;http://www.cocovelten.org;https://i.goopics.net/eQ2Wj.png
54;MARSEILLE INNOVATION ;ASSOCIATION;LA PLACE DE L'INNOVATION;8 Allée Leon Gambetta;13001;MARSEILLE;;;"ESPACE DE COWORKING; LIEU DE MEDIATION NUMERIQUE";Accompagnement à la création et au developpement d'entreprises innovantes, aide à la transformation numerique des organisations   ;Lundi au vendredi 9h-18h;pépinières d'netreprises innovantes, plateforme de test utilisateurs, salles de réunion ;CEEI;https://www.facebook.com/MarseilleInnovation;https://twitter.com/marseilleinnov;https://www.youtube.com/user/MarseilleInnovation;http://www.marseille-innov.org;https://i.goopics.net/AJarb.png
55;SERES TECHNOLOGIES;SAS;USER LAB SERES TECHNOLOGIES;8 Allée Leon Gambetta;13001;MARSEILLE;;;LABORATOIRE DES USAGES;Evaluations IHM / UX;Lundi au vendredi 9h-12h/14h-18h;Plateforme de test utilisateur;;https://www.facebook.com/Seres-Technologies-172267923429768/;https://twitter.com/SeresContact;;http://www.seres-technologies.com/fr/;https://i.goopics.net/Qv0Wr.png
56;CIERES;ASSOCIATION ;PLATEFORME MEDIATION JEUNES;9 rue Montolieu;13002;MARSEILLE; 43.303094         ;5.372941;LIEU DE MEDIATION NUMERIQUE;Accueil qualifié, orientation, formation générale  et  spécialisée dont numérique - TICE, accompagnement à l'emploi soutenu par les TIC;Lundi au vendredi 9h-12h.14h-18h;salle informatique en libre-accès connectés à internet et à une imprimante couleur numérique, salle supplémentaire avec postes  connectés notamment à la plateforme E2C et disposant d’une imprimante numérique couleur, salle action JANUS labélisée GEN,appareils photos numériques, vodéoprojecteur, photocopieur imprimante numérique, salle vidéo, brureau d'entretien individuel;"Grande Ecole du Numérique (GEN); Qualité Régio;  Structure FLI; Evaluateurs CLEA Copanef et Référencement DATADOCK; EDA plateforme informatisée e-learning accompagnée e2c";;;;http://www.cieres.fr;https://i.goopics.net/kjmdl.png
57;CIERES;ASSOCIATION ;PLATEFORME FARE;15  rue du Terras;13003;MARSEILLE;;;LIEU DE MEDIATION NUMERIQUE;Accueil qualifié et conseil, Ateliers de formation et de sensibilisation  numérique - TICE, Accompagnement à l'emploi soutenu par TICE;"Lundi 9h-12h/14h-21h; mardi 9h-12h/14h-18h;mercredi 9h-12h/14h-21h; jeudi et vendredi 9h-12h/14h-18h; samedi 9h-12h";salle informatique, open space avec postes informatiques, salles de formation équipées d’un tableau numérique et d’un rétroprojecteur, bureaux d’entretien et de formation individuelle;"Grande Ecole du Numérique (GEN); Qualité Régio;  Structure FLI; Evaluateurs CLEA Copanef et Référencement DATADOCK; EDA plateforme informatisée e-learning accompagnée e2c";;;;http://www.cieres.fr;https://i.goopics.net/kjmdl.png
58;AGIM ;ASSOCIATION ;INCUBATEUR BELE DE MAI;37 rue Guibal;13003;MARSEILLE;;;"ESPACE DE COWORKING; LIEU DE MEDIATION NUMERIQUE";Accompagnement d'entrepreneurs dans les TICS et les médias;Lundi au vendredi 9h-18h;Outils et fournitures de prototypage;;https://www.facebook.com/IncubateurBelledeMai/;https://twitter.com/incubateur_bdm;https://www.youtube.com/channel/UCnQq5pYpkmhagmY7OOQAs5A;http://www.belledemai.org/;https://i.goopics.net/eOQ3P.png
59;ZINC;ASSOCIATION ;ZINC;41 rue Jobin;13003;MARSEILLE;;;"FABLAB; MEDIALAB;";Fabrication numérique, ateliers multimédia, sensibilisation VR/AR et Data;"Merdredi 14h-18h; jeudi 18h-21h; vendredi 9h-12h/14h-18h; samedi 14h-18h";Postes informatiques, imprimante 3D, CNC, découpe laser, découpe 2D plotter, table de mixage son, tablettes, Kit VR (téléphone + casques), outillage traditionnel;;https://www.facebook.com/ZINClafriche;https://twitter.com/zinclafriche;;http://www.zinclafriche.org;https://i.goopics.net/Qvywq.png
60;RESO-NANCE NUMERIQUE;ASSOCIATION ;LFO;41 rue Jobin;13003;MARSEILLE;43.310206 ;5.390338;FABLAB;Fabrication numérique, ateliers pédagogique autour de la programmation interactives;"Lundi 14h-18h; mardi au jeudi 9h-12h/14h-18h; vendredi 9h-12h/14h-21h; samedi 14h-18h";imprimantes 3D, CNC, découpe laser, ordinateurs, outils classiques;;https://www.facebook.com/resonance.numerique;https://twitter.com/resonancenum;;http://reso-nance.org/;https://i.goopics.net/vQXqg.png
61;MAKE IT MARSEILLE;SAS;MAKE IT MARSEILLE;108 rue Breteuil;13006;MARSEILLE;;;"MAKERSPACE; ESPACE DE COWORKING";"Accompagnement des acteurs du territoire à développer des services et produits innovants, coworking

";Lundi au vendredi 9h-19h;"espace de coworking, cabine peinture, laser, plotter, traceur, impression 3D, CNC plein format, atelier bois,  atelier bijoux, atelier textile
";;https://www.facebook.com/makeitmarseille;https://twitter.com/makeitmarseille;https://www.youtube.com/channel/UC7p09yEZ_2XKaTk-3ExUNxg;https://www.makeitmarseille.com;https://i.goopics.net/wywwD.png
62;AFPA ACCES A L'EMPLOI;SASU ; DIRECTION REGIONALE AFPA ACCES A L'EMPLOI ;9 boulevard de Louvain;13008;MARSEILLE;;;LIEU DE MEDIATION NUMERIQUE;Mise à disposition d'espaces de travail et de rencontres, ateliers numériques pour les entreprises,leurs salariés et demandeurs d'emplois;"Tous les premiers jeudi du mois; 9h-12h : AGORA SPACE (médiation numérique) ; 14h-18h / REPAR ACTION (repair café)";Outils et machines présents sur site;;;;;https://www.afpa.fr/directionregionale/direction-regionale-de-paca;https://i.goopics.net/aODWZ.png
63;ICOM PROVENCE;ASSOCIATION;ICOM PROVENCE;100 chemin de la Barasse;13011;MARSEILLE;;;LIEU DE MEDIATION NUMERIQUE;Ateliers  collectifs et seances individuelles pour les enfants en situation de handicap sur les apprentissages numeriques pour leur scolarité, ateliers adultes  en collectif ou en individuel sur les apprentissages et les usages du numeriques, développement de logiciels libres et gratuits adaptés aux personnes en situation de handicap.;"Lundi 9h-12h30/13h30-18h; mardi au jeudi 9h-12h30/13h30-19h, vendredi 9h-12h30";"Une salle informatique : ordinateurs, tablettes tactiles 
";;https://www.facebook.com/icomprovence/;"https://twitter.com/IcomProvence 
";https://www.youtube.com/channel/UCXQJqhn3noFk0j9AmZSRbDA;http://www.icomprovence.net;https://i.goopics.net/QvyE4.png
64;AFPA ACCES A L'EMPLOI;SASU ; CENTRE AFPA DE MARSEILLE SAINT JEROME;54 boulevard Lavéran;13013;MARSEILLE;;;LIEU DE MEDIATION NUMERIQUE;Mise à disposition d'espaces de travail et de rencontres, ateliers numériques pour les entreprises,leurs salariés et demandeurs d'emplois;"Tous les premiers jeudi du mois; 9h-12h : AGORA SPACE (médiation numérique) ; 14h-18h / REPAR ACTION (repair café)";Outils et machines présents sur site;;;;;https://www.afpa.fr/directionregionale/direction-regionale-de-paca;https://i.goopics.net/aODWZ.png
65;ARBORESCENCE;ASSOCIATION ;ARBORESCENCE;374  rue de Lyon;13015;MARSEILLE;"43.33841779999999
";5.362672299999986;"FABLAB; LIEU DE MEDIATION NUMERIQUE";Initiation numérique de base, sensibilisation E-administration, diagnostic numérique TPE, fabrication numérique, sensibilisation Réalité Virtuelle Immersive, formation pro. adultes, loisirs numériques pour seniorset jeunes, accompagnement numérique aux devoirs;"Lundi,mercredi,vendredi 9h-12h/14h-17h; mardi,jeudi 9h-12h/14h-18h30; samedi 9h30-12h30";Salle informatique, tablettes, vidéoprojecteur, caméscope, imprimante 3D, petit équipement électronique;Espace Public Numérique (EPN);https://www.facebook.com/AssoArbo;;;http://www.arborescence.net;https://i.goopics.net/Yv5EA.png
66;ICI MARSEILLE;SAS;ICI MARSEILLE;77 rue de Lyon;13015;MARSEILLE;;;"MAKERSPACE; FABLAB";Manufacture partagée, Innovation et prototypage grâce à la fabrication numérique;Lundi au vendredi 9h-18h;Découpeuse laser, imprimantes 3D (filaire & résine, thermoformeuse, paillasses électroniques équipées);;https://www.facebook.com/MakeICIMarseille;https://twitter.com/ICIMarseilleXXL;https://www.youtube.com/channel/UCr5Jvmn5Ngls_KBu-fzQanw/featured?view_as=subscriber;http://makeici.org/icimarseille;https://i.goopics.net/wyw23.png
67;ANCRAGES;ASSOCIATION;ANCRAGES;42 boulevard d'Annam;13016;MARSEILLE;;;LIEU DE MEDIATION NUMERIQUE;Ateliers de sensibilisation aux usages numériques, accompagnement aux demandeurs d'emploi, production numérique;"Lundi,mardi,jeudi,vendredi 9h-13h/14h-17h ; mercredi 17h-19h; samedi 14h-17h";Ordinateurs, imprimantes,  photocopieuse, scansnap;;https://www.facebook.com/Ancrages.association; https://twitter.com/Ancrages; https://www.youtube.com/channel/UCxV_X9yECO8dj7aNQMBcI4g;http://www.ancrages.org;https://i.goopics.net/aOEyk.png
68;ACCES MULTIMEDIA;ASSOCIATION;MAISON VIE ASSOCIATIVE;2 Place Romée de Villeneuve;13090;AIX-EN-PROVENCE;;;LIEU DE MEDIATION NUMERIQUE;Ateliers informatiques et multimédias;Lundi au vendredi 9h-12h/14h-18h;Equipement de réalité virtuelle, ordinateurs;Espace Public Numérique (EPN);;;;http://www.acces-multimedia.org;https://i.goopics.net/wy8bR.png
69;ANONYMAL;ASSOCIATION;LA MAISON NUMERIQUE;1 Place Victor Schoelcher;13090;AIX-EN-PROVENCE;43.52643;5.41399;"GAMELAB; LIEU DE MEDIATION NUMERIQUE";Accès libre, ateliers initiation informatique, cultures numériques, audiovisuel, éducation à l'image, emploi, Gamelab;Lundi au vendredi 9h30-12h30/14h-18h;Ordinateurs fixes, portables PC, tablettes, mprimante laser, scanner, video projecteur;Espace Public Numérique (EPN);https://www.facebook.com/maison.numerique;https://twitter.com/Anonymal ;;http://anonymal.tv;https://i.goopics.net/nve0p.png
70;ICI MARSEILLE;SAS;ICI THE CAMP;550 rue Denis Papi;13100;AIX-EN-PROVENCE;;;"MAKERSPACE; FABLAB";Innovation et prototypage grâce à la fabrication numérique;Lundi au vendredi 9h-18h;Découpeuse laser, imprimantes 3D (filaire & résine, thermoformeuse, paillasses électroniques équipées);Atelier partagé, atelier de fabrication et prototypage équipé (bois / métal), laboratoire de chimie équipé, bureaux, espace de coworking , salle de réunion, formation & accueil de résidence,workshop (vidéoprojecteur, paper board, rapsberry, plastifieuse…), matériel de sonorisation, matériel de prise de vue photographique;https://www.facebook.com/AccesMultimediaAix/;;;http://http://makeici.org/icithecamp/;https://i.goopics.net/wyw23.png
71;ARCHEOMED;ASSOCIATION;ARCHEOMED;17 chemin de Séverin;13200;ARLES;43.679442;4.603429;"ESPACE DE COWORKING; LIVING LAB";Mutualisation d'espaces de travail et de matériel, rencontres professionnelles, ateliers de découverte des outils numériques et pratiques collaboratives, formations, accompagnement aux projets d'innovation, accueil de résidences;Lundi au vendredi 9h-18h;;Entreprise Solidaire d'Utilité Sociale (ESUS);https://www.facebook.com/Arch;;;http://www.archeomed.fr/;https://i.goopics.net/NvEQ7.png
72;COMMUNE D'ARLES;COLLECTIVITE;BARRIOL E-NOV;2 place Maurice-Thorez;13200;ARLES;43.6683112 ;4.6172136;LIEU DE MEDIATION NUMERIQUE;Accompagnement à l'utilisation des services publics numériques, assistante numérique, formation, participation citoyenne, pratique collaborative;"Lundi au jeudi 8h30-12h30/13h30-17h30; vendredi 8h30-12h30/13h30-16h";ordinateur connecté à Internet, une imprimante / scanner;Maison publique de quartier;https://www.facebook.com/ville.arles/;https://twitter.com/VilledArles;;https://demarches.arles.fr/menu/aide/;https://i.goopics.net/ZYEOG.png
73;INITIATIVE PAYS D'ARLES;ASSOCIATION;LA FABRIQUE;ZI Nord, village d'Entreprises, 1 rue Nicolas Copernic;13200;ARLES;43.6976506;4.6330841;"ESPACE DE COWORKING; TIERS-LIEU";Accompagnement à la création d'entreprise, coworking;Lundi au vendredi 8h30-17h30;ordinateur, écran, visio-conférence, connexion à la fibre;Initiative France;https://www.facebook.com/Initiative-Pays-dArles-954901767978175/;;;http://www.initiative-paysdarles.com/;https://i.goopics.net/9qnrR.png
74;PAYS D'AUBAGNE LA CIOTAT INITIATIVE;ASSOCIATION;ACTIPOLE;255 avenue de Jouques;13400;AUBAGNE;;;LIEU DE MEDIATION NUMERIQUE;Formation, accompagnement, montage de produits et espace collaboratif;Lundi au vendredi 9h-12h30/14h-17h30;Equipement bureau, écran, tablettes;Réseau Initiative;https://www.facebook.com/PACI13/;https://twitter.com/InitiativePACI?lang=fr;;http://www.paci13.com;https://i.goopics.net/vQoEA.png
75;MICRO PACKS CIM PACA;ASSOCIATION;MICRO PACKS CIM PACA;CMP, 880 avenue de Mimet;13451;GARDANNE;43.4456874 ;5.479919500000051;PLATEFORME TECHNOLOGIQUE;Accompagnement à l'innovation dans les objects connectés;Lundi au vendredi 9h-18h;Packaging semi-conducteur,  sécurité, électronique imprimée,  caractérisation, RF. Plus de 130 équipements;;;;;http://www.pf-micropacks.org;https://i.goopics.net/rKNde.png
76;COMMUNE DE MARTIGUES;COLLECTIVITE;MEDIATHEQUE LOUIS ARAGON;Quai des Anglais;13500;MARTIGUES;;;"MEDIATHEQUE; LIEU DE MEDIATION NUMERIQUE";Accueil public libre, ateliers d’initiation tout public, ateliers collectifs avec les partenaires;"Mardi 13h30-18h30; mercredi au samedi 10h-12h/13h30-18h30";Ordinateurs;Espace Public Numérique (EPN);www.fb.me/EPN.martigues;;;http://www.ville-martigues.fr;https://i.goopics.net/aOE20.png
77;COMMUNE DE MARTIGUES;COLLECTIVITE;MAISON DE LA FORMATION ET DE LA JEUNESSE;Quai Lucien Toulmond;13500;MARTIGUES;;;LIEU DE MEDIATION NUMERIQUE;Accueil public libre, ateliers d’initiation tout public, ateliers collectifs avec les partenaires;"Mardi 13h30-17h30; mercredi au samedi 9h-12h/13h30-17h30";;Espace Public Numérique (EPN);www.fb.me/EPN.martigues;;;http://www.ville-martigues.fr;https://i.goopics.net/aOE20.png
78;UTOP LAB FACTORY;ASSOCIATION;UTOP LAB;Square Verdun;13600;LA CIOTAT;43.175222;5.607941;"FAB LAB; LIEU DE MEDIATION NUMERIQUE";teliers numeriques( fabrication, codage, 3d, web, informatique), parcours de decouverte numerique, formation outils numerique, café philo transition numerique;"Lundi 14h-18h; mardi 9h-12h,mercredi 9h-18h; jeudi 9h-12h; vendredi 9h-12h/14h-18h; samedi 9h-18h";;Grande Ecole du Numérique (GEN);http://facebook.com/utoplabfactory/;;;http://utoplab.org;https://i.goopics.net/4v71Z.png
79;AFPA ACCES A L'EMPLOI;SASU ;CENTRE AFPA D'ISTRES;Avenue Félix GOUIN;13800;ISTRES;;;LIEU DE MEDIATION NUMERIQUE;Mise à disposition d'espaces de travail et de rencontres, ateliers numériques pour les entreprises,leurs salariés et demandeurs d'emplois;"Tous les premiers jeudi du mois; 9h-12h : AGORA SPACE (médiation numérique) ; 14h-18h / REPAR ACTION (repair café)";Outils et machines présents sur site;;;;;https://www.afpa.fr/directionregionale/direction-regionale-de-paca;https://i.goopics.net/aODWZ.png
80;TVT INNOVATION;ASSOCIATION;LA CANTINE BY TVT;Maison du Numérique et de l'Innovation, place Pompidou;83000;TOULON;;;"ESPACE DE COWORKING; FABLAB; LIEU DE MEDIATION NUMERIQUE";coworking / fablab / animation de communautés & réseaux numériques / sensibilisation aux usages numériques / ateliers créatifs et prospectifs / cocréation entre étudiants & professionnels;"Lundi au vendredi 9h-21h; samedi 9h-18h";Equipement de prototypage rapide : imprimante 3D à dépôt de filament, découpe laser, matériel électronique pour IOT (Arduino, Raspberry PI…), CNC, découpe vinyl;;https://www.facebook.com/LaCantinebyTVT;https://twitter.com/LaCantinebyTVT;;http://www.tvt.fr;https://i.goopics.net/1Wpoe.png
81;AFPA ACCES A L'EMPLOI;SASU ;CENTRE AFPA DE TOULON LA VALETTE;395 avenue de la Libération;83160;LA VALETTE SUR VAR;;;LIEU DE MEDIATION NUMERIQUE;Mise à disposition d'espaces de travail et de rencontres, ateliers numériques pour les entreprises,leurs salariés et demandeurs d'emplois;"Tous les premiers jeudi du mois; 9h-12h : AGORA SPACE (médiation numérique) ; 14h-18h / REPAR ACTION (repair café)";Outils et machines présents sur site;;;;;https://www.afpa.fr/directionregionale/direction-regionale-de-paca;https://i.goopics.net/aODWZ.png
82;HORIZON MULTIMEDIA;ASSOCIATION;HORIZON MULTIMEDIA;Espace Pauline - Rond point des 4 chemins;83130;LA GARDE;;;"ESPACE DE COWORKING; FABLAB; LIEU DE MEDIATION NUMERIQUE";ateliers numériques- interventions en établissements scolaires- accompagnement à la parentalité autour des médias numériques- formation des professionnels;Lundi au vendredi 9h-12h/13h30-17h30;Ordinateurs, équipement de fabrication numérique;;;https://twitter.com/horizonm;https://www.youtube.com/user/HorizonMultimedia;http://www.horizonm.fr/lassociation/;https://i.goopics.net/9q72w.png
83;MODE83;ASSOCIATION ;C-NUM;55 avenue du 4 septembre;83300;DRAGUIGNAN;;;"ESPACE DE COWORKING; MEDIALAB; FABLAB; LIEU DE MEDIATION NUMERIQUE";fablab, coworking, espace inernet, cartopartie data lab;"Lundi et mercredi 9h-12h/14h-21h; mardi 14-18h; jeudi et vendredi 9h-12h/14h-18h";Ordinateurs portables, tablettes, materiel vidéo, materiel fablab, TV ;Grande Ecole du Numérique (GEN);https://www.facebook.com/MODE83/;;;http://mode83.net;https://i.goopics.net/G878n.png
84;MODE83;ASSOCIATION ;ESPLANADE DE L'INTERNET;53 boulevard des martyrs de la resistance;83300;DRAGUIGNAN;;;LIEU DE MEDIATION NUMERIQUE;Espace internet, Emploi 2.0, e administration, E citoyenneté;"Lundi,mercredi, jeudi, vendredi  9h-12h/14h-18h; mardi et samedi 14h-18h;";ordinateurs , video projecteur, imprimantes;;https://www.facebook.com/MODE83/;;;http://mode83.net;https://i.goopics.net/oAXA7.png
85;RESINE;ASSOCIATION ;RESINE MEDIA;55 avenue du 4 septembre;83300;DRAGUIGNAN;;;"MEDIALAB; LIEU DE MEDIATION NUMERIQUE";Production de services numériques;Lundi au vendredi 9h - 18h;Equipement de production audiovisuel et multimedia  ;Chantier d'insertion, agréement DIRECCTE;https://www.facebook.com/resinemedia;;;http://resinemedia.net;https://i.goopics.net/K8jnY.png
